Rank,Name,Net Worth,Age,Source,Country of Citizenship
1,Bill Gates,79200000000,59,Microsoft,United States
2,Carlos Slim Helu,77100000000,75,telecom,Mexico
3,Warren Buffett,72700000000,84,Berkshire Hathaway,United States
4,Amancio Ortega,64500000000,78,Zara,Spain
5,Larry Ellison,54300000000,70,Oracle,United States
6,Charles Koch,42900000000,79,diversified,United States
6,David Koch,42900000000,74,diversified,United States
8,Christy Walton,41700000000,60,Wal-Mart,United States
9,Jim Walton,40600000000,67,Wal-Mart,United States
10,Liliane Bettencourt,40100000000,92,L'Oreal,France
11,Alice Walton,39400000000,65,Wal-Mart,United States
12,S. Robson Walton,39100000000,71,Wal-Mart,United States
13,Bernard Arnault,37200000000,65,LVMH,France
14,Michael Bloomberg,35500000000,73,Bloomberg LP,United States
15,Jeff Bezos,34800000000,51,Amazon.com,United States
16,Mark Zuckerberg,33400000000,30,Facebook,United States
17,Li Ka-shing,33300000000,86,diversified,Hong Kong
18,Sheldon Adelson,31400000000,81,casinos,United States
19,Larry Page,29700000000,41,Google,United States
20,Sergey Brin,29200000000,41,Google,United States
21,Georg Schaeffler,26900000000,50,ball bearings,Germany
22,"Forrest Mars, Jr.",26600000000,83,candy,United States
22,Jacqueline Mars,26600000000,75,candy,United States
22,John Mars,26600000000,78,candy,United States
25,David Thomson,25500000000,57,media,Canada
26,Jorge Paulo Lemann,25000000000,75,beer,Brazil
27,Lee Shau Kee,24800000000,87,real estate,Hong Kong
28,Stefan Persson,24500000000,67,H&M,Sweden
29,George Soros,24200000000,84,hedge funds,United States
29,Wang Jianlin,24200000000,60,real estate,China
31,Carl Icahn,23500000000,79,investments,United States
32,Maria Franca Fissolo,23400000000,97,"Nutella, chocolates",Italy
33,Jack Ma,22700000000,50,e-commerce,China
34,Prince Alwaleed Bin Talal Alsaud,22600000000,59,investments,Saudi Arabia
35,Steve Ballmer,21500000000,58,Microsoft,United States
35,Phil Knight,21500000000,77,Nike,United States
37,Beate Heister & Karl Albrecht Jr.,21300000000,0,supermarkets,Germany
38,Li Hejun,21100000000,47,solar power equipment,China
39,Mukesh Ambani,21000000000,57,"petrochemicals, oil & gas",India
40,Leonardo Del Vecchio,20400000000,79,eyeglasses,Italy
41,Len Blavatnik,20200000000,57,diversified,United States
41,Tadashi Yanai,20200000000,66,retail,Japan
43,Charles Ergen,20100000000,62,Dish Network,United States
44,Dilip Shanghvi,20000000000,59,pharmaceuticals,India
45,Laurene Powell Jobs,19500000000,51,"Apple, Disney",United States
46,Dieter Schwarz,19400000000,75,retail,Germany
47,Michael Dell,19200000000,50,Dell,United States
48,Azim Premji,19100000000,69,software,India
49,"Theo Albrecht, Jr.",19000000000,64,"Aldi, Trader Joe's",Germany
50,Michael Otto,18100000000,71,"retail, real estate",Germany
51,Paul Allen,17500000000,62,"Microsoft, investments",United States
52,Joseph Safra,17300000000,76,banking,Brazil
